SEÇÃO,LOCAL DE VOTAÇÃO,BAIRRO,Eleitores aptos,Comparecimento,bairro_padronizado,tipo
SEÇÃO 81,SEC. DE EDUCAÇÃO,CENTRO,324,286,CENTRO,URBANO
SEÇÃO 82,E. M. VICENTE FERREIRA LIMA,NOVO MARAJÁ,318,288,NOVO MARAJA,RURAL
SEÇÃO 83/123,E. M. MARIA DO SOCORRO ALENCAR SARAIVA,SERRA GRANDE,348,289,SERRA GRANDE,RURAL
SEÇÃO 84,E. M. ONEIDE MILHOMEM DA CUNHA,SÃO JOAQUIM DOS MELOS,310,287,SAO JOAQUIM DOS MELOS,RURAL
SEÇÃO 89,ESCOLA MUN. ZEZILA BORGES,TUNTUM DE CIMA,303,256,TUNTUM DE CIMA,URBANO
SEÇÃO 90,E. M. ANTÔNIO MOREIRA LUCENA,ARARA,337,275,ARARA,RURAL
SEÇÃO 91,E. M. RAIMUNDO JOAQUIM DA CUNHA,CIGANA,313,250,CIGANA,RURAL
SEÇÃO 92/121,E. M. TOMAZ ARRUDA LEDA,MATO VERDE,315,259,MATO VERDE,RURAL
SEÇÃO 94/130,E. M. JOANA MARIA DE JESUS,BREJO DO JOÃO,318,277,BREJO DO JOAO,RURAL
SEÇÃO 95,E. M. MARIA DO SOCORRO FERREIRA ANDRADE SILVA,JENIPAPO DOS GOMES,230,192,JENIPAPO DOS GOMES,RURAL
SEÇÃO 96,C.E. JOSÉ PINHEIRO (CRECHE BRAUNIENE),VILA LUIZÃO,314,274,VILA LUIZAO,URBANO
SEÇÃO 97,ESCOLA AMELIO FILHO PROX. A DELEGACIA,CENTRO,321,279,CENTRO,URBANO
SEÇÃO 99,ESCOLA MUN. TEREZINHA ALMEIDA,VILA BENTO,339,273,VILA BENTO,URBANO
SEÇÃO 100,ESCOLA MUN. PROF. LUCAS BRITO,CAMPO VELHO,319,265,CAMPO VELHO,URBANO
SEÇÃO 101,E. M.RAIMUNDO JOAQUIM DA CUNHA,CIGANA,304,253,CIGANA,RURAL
SEÇÃO 102,ESCOLA MUN. ZEZILA BORGES,TUNTUM DE CIMA,301,251,TUNTUM DE CIMA,URBANO
SEÇÃO 106,E. M. VEREADOR CARLOS AUGUSTO DA CUNHA,IPU IRU,297,237,IPU IRU,URBANO
SEÇÃO 107,COLÉGIO MILITAR,ASTOLFO SEABRA,308,261,ASTOLFO SEABRA,URBANO
SEÇÃO 109,ESCOLA MUN. MARIA SECRETÁRIA,MIL RÉIS,336,264,MIL REIS,URBANO
